#,Company,Symbol,Portfolio%,Price,Chg,% Chg
290,Resmed Inc.,RMD,0.0006,168.33,-4.31,(-2.50%)
291,Fortive Corporation,FTV,0.0006,72.50,-0.57,(-0.78%)
292,"The Hartford Financial Services Group, Inc.",HIG,0.0006,81.76,1.43,-1.77%
293,"Zimmer Biomet Holdings, Inc.",ZBH,0.0006,118.79,0.26,-0.22%
294,"Ulta Beauty, Inc.",ULTA,0.0006,491.60,-3.03,(-0.61%)
295,State Street Corporation,STT,0.0006,78.29,-0.26,(-0.33%)
296,Tractor Supply Co,TSCO,0.0006,219.63,-4.47,(-2.00%)
297,Lyondellbasell Industries N.v. Class A,LYB,0.0006,95.65,1.05,-1.11%
298,Weyerhaeuser Company,WY,0.0006,33.77,-0.18,(-0.52%)
299,Dte Energy Company,DTE,0.0006,109.72,-2.72,(-2.41%)
300,"Church & Dwight Co., Inc.",CHD,0.0006,91.51,0.15,-0.16%
301,Aptiv Plc,APTV,0.0006,87.85,-1.00,(-1.12%)
302,M&t Bank Corp.,MTB,0.0006,138.25,-6.81,(-4.69%)
303,T Rowe Price Group Inc,TROW,0.0006,106.18,-1.14,(-1.06%)
304,Broadridge Financial Solutions Inc,BR,0.0006,211.93,18.29,-9.44%
305,Corning Incorporated,GLW,0.0006,30.30,-0.27,(-0.88%)
306,Ebay Inc,EBAY,0.0006,41.93,-0.73,(-1.70%)
307,Entergy Corporation,ETR,0.0006,101.63,-1.64,(-1.59%)
308,"Molina Healthcare, Inc.",MOH,0.0006,297.01,-77.80,(-20.76%)
309,Fifth Third Bancorp,FITB,0.0006,34.86,-0.28,(-0.80%)
310,Eversource Energy,ES,0.0006,59.81,-3.72,(-5.86%)
311,"Nvr, Inc.",NVR,0.0006,"6,587.50",-347.00,(-5.00%)
312,Wabtec Inc.,WAB,0.0006,104.83,-17.00,(-13.93%)
313,"Pultegroup, Inc.",PHM,0.0005,103.52,-1.36,(-1.30%)
314,Hewlett Packard Enterprise Company,HPE,0.0005,16.90,-0.16,(-0.94%)
315,Howmet Aerospace Inc.,HWM,0.0005,52.80,0.02,-0.03%
316,Ameren Corporation,AEE,0.0005,71.49,-3.53,(-4.71%)
317,Equity Residential,EQR,0.0005,62.09,-0.22,(-0.35%)
318,Dover Corporation,DOV,0.0005,139.74,-15.50,(-10.01%)
319,Steris Plc,STE,0.0005,230.00,19.55,-9.29%
320,"Raymond James Financial, Inc.",RJF,0.0005,110.27,-0.61,(-0.55%)
321,"Ptc, Inc",PTC,0.0005,171.10,-0.14,(-0.08%)
322,International Flavors & Fragrances Inc.,IFF,0.0005,79.13,-1.06,(-1.32%)
323,Invitation Homes Inc.,INVH,0.0005,34.31,-0.99,(-2.79%)
324,Ppl Corporation,PPL,0.0005,26.85,-0.19,(-0.70%)
